TEXT,STAGE,STRANGE,GROUP,EMOTION,TRIGGER
"Какого черта ты опять обсуждаешь наши семейные неурядицы со своей матерью по видеосвязи в моем присутствии?! Это наше сугубо личное дело, и я категорически против того, чтобы родственники знали о каждой нашей ссоре. Твое неумение держать язык за зубами просто выводит меня из себя и окончательно подрывает доверие!",Эскалация,Высокая,Гнев,Неодобрение,Родня
"Убирайся прочь из моей жизни прямо сейчас, я видела запись с регистратора, и не смей врать, что это была «случайная попутчица»! Ты лживый подонок, который предал меня в самый уязвимый момент, когда я больше всего нуждалась в твоей верности. Я подаю на развод сегодня же, и больше ты не увидишь ни меня, ни наших детей никогда!",Пик,Высокая,Гнев,Злость,Ревность
"Я сегодня понял, что был слишком категоричен в своих суждениях о твоем хобби и зря называл это пустой тратой времени. Ты так светишься от радости, когда возвращаешься со своих занятий, и это делает нашу атмосферу в доме гораздо теплее. Прости за моё ворчание, я завтра же помогу тебе выбрать новый набор для творчества, о котором ты мечтала.",Разрешение,Низкая,Позитив,Одобрение,Личность
"Твои друзья опять оставили после себя гору немытой посуды и стойкий запах перегара в нашей маленькой квартире. Почему ты не можешь попросить их вести себя чуть приличнее, неужели моё право на покой тебе совсем не важно? Я чувствую себя в этом доме просто бесплатной горничной для твоей вечно шумящей компании приятелей.",Предконфликтная,Средняя,Гнев,Неодобрение,Друзья
"Я заметила, что ты стал ставить сложные пароли на все мессенджеры и вздрагивать каждый раз, когда я случайно беру твой телефон. Это типичное поведение мужчины, который ведет тайную переписку на стороне и очень боится разоблачения. Пожалуйста, скажи мне честно — что происходит в нашей жизни, я не могу больше жить в этой гнетущей лжи.",Инцидент,Высокая,Страх,Страх,Ревность
"Хватит орать на меня из-за того, что я купила новую одежду нашему ребенку без твоего предварительного согласия! Это предметы первой необходимости, а не роскошь, и я имею право решать такие вопросы как мать самостоятельно. Твоя патологическая скупость в отношении нужд сына просто вымораживает меня и доводит до отчаяния.",Эскалация,Средняя,Гнев,Раздражение,Деньги
"Я просто хочу, чтобы меня никто не трогал хотя бы до утра, у меня больше нет сил на бесконечные выяснения кто прав, а кто виноват. Вся эта ситуация с нашими постоянными конфликтами вымотала меня настолько, что я чувствую полное эмоциональное выгорание. Давай просто поспим в разных комнатах сегодня, иначе я просто сорвусь на крик.",Предконфликтная,Низкая,Нейтральные,Нейтральность,Личность
"Как же я рада, что мы наконец-то смогли сесть за стол переговоров и спокойно обсудить все те обиды, что копились годами. Ты — самый близкий и дорогой мне человек на этой планете, и я очень боюсь потерять нашу связь из-за ерунды. Я люблю тебя всё сильнее с каждым прожитым днем и бесконечно ценю то, что мы всё еще вместе.",Разрешение,Высокая,Позитив,Любовь,Личность
"Опять ты не предупредила, что твоя сестра заглянет к нам на ужин «просто так», когда я планировал отдохнуть после смены. У меня был очень тяжелый день, и я не готов к светским беседам и приему гостей в своем доме без предупреждения. Почему ты никогда не учитываешь моё состояние и потребность в тишине в нашем общем жилом пространстве?",Предконфликтная,Низкая,Гнев,Раздражение,Родня
"Почему ты никогда не даришь мне цветы просто так, почему я должна напоминать тебе о каждом празднике заранее? Я хочу чувствовать себя желанной и любимой, а не просто функцией по обслуживанию твоего быта и воспитанию детей. Мне очень больно осознавать, что вся романтика в наших отношениях окончательно испарилась из-за твоего равнодушия.",Инцидент,Средняя,Грусть,Обида,Внимание
"Твои бесконечные поучения, как мне общаться с моими собственными родителями, просто выводят меня из равновесия! Я сама разберусь в своих семейных связях без твоих ценных советов и постоянного вмешательства в наши диалоги. Хватит меня контролировать в каждом моем шаге, иначе я просто закроюсь от тебя окончательно и навсегда!",Эскалация,Средняя,Гнев,Раздражение,Контроль
"Да мне плевать на твои обещания больше не играть, ты опять просадил все деньги, отложенные на ремонт нашей спальни! Ты совершенно безответственный человек, для которого минутный азарт важнее комфорта и благополучия собственного дома. Собирай свои вещи прямо сейчас и уходи к тем, с кем ты проводишь ночи в казино, я с тобой завязала!",Пик,Высокая,Гнев,Злость,Деньги
"Я сегодня осознала, что была неоправданно строга к тебе из-за того беспорядка, который ты устроил на кухне во время готовки. Главное — это твое желание меня порадовать и твой труд, а посуду мы можем помыть и вместе за пять минут. Прости меня за мои резкие слова, ужин был просто великолепным, и я очень ценю твою заботу о моем настроении.",Разрешение,Низкая,Социальные,Раскаяние,Быт
"Твои друзья опять зовут тебя на рыбалку на все выходные, когда мы давно планировали поехать к моим родителям на дачу. Почему твои личные развлечения и желания приятелей всегда оказываются весомее наших совместных планов и обещаний? Я чувствую себя абсолютно неважной в твоем списке приоритетов, и это чувство с каждым разом только растет.",Предконфликтная,Низкая,Гнев,Неодобрение,Друзья
"Я заметил, что ты стала очень скрытной и вздрагиваешь каждый раз, когда я просто прохожу мимо твоего ноутбука. Это поведение человека, который ведет двойную игру на стороне и панически боится, что его секреты станут явными для партнера. Пожалуйста, будь со мной честна — у нас еще есть будущее, или я уже давно стал для тебя лишним в жизни?",Инцидент,Высокая,Страх,Страх,Ревность
"Хватит орать на меня из-за того, что я пришла домой на полчаса позже обычного из-за пробок на дорогах города! Я не в колонии строгого режима и не обязана отчитываться за каждую минуту своего отсутствия перед твоим вечным судом. Твоя необоснованная агрессия и желание всё контролировать просто убивают во мне всякое желание возвращаться домой.",Эскалация,Средняя,Гнев,Раздражение,Контроль
"Я просто хочу, чтобы ты меня крепко обнял и ничего не спрашивал, мне сейчас очень страшно потерять остатки нашей любви. Все эти крики и взаимные упреки кажутся такими ничтожными перед угрозой нашего окончательного расставания. Пожалуйста, побудь со мной рядом сегодня в тишине, мне жизненно необходимо почувствовать, что ты всё еще со мной.",Инцидент,Высокая,Страх,Напряжение/Нервозность,Личность
"Спасибо, что поддержал меня в моем решении начать свой бизнес, хотя это был огромный риск для всех наших сбережений. Я знала, что ты на моей стороне, но твоя непоколебимая вера в мой успех придала мне сил справиться со всеми трудностями. Я бесконечно тебя люблю и ценю твою надежность как мужа и самого близкого друга на свете.",Разрешение,Средняя,Позитив,Признательность/Радость,Деньги
"Опять ты не помыл за собой сковородку, и к утру она превратилась в настоящий арт-объект, который невозможно отмыть. Мне кажется, я прошу об элементарных вещах, но они разбиваются о твоё полное нежелание участвовать в бытовой жизни дома. Это мелкое пренебрежение моими просьбами в итоге приведет к большому взрыву, поверь мне на слово.",Предконфликтная,Низкая,Гнев,Раздражение,Быт
"Ты обещал, что мы проведем этот вечер только вдвоем, обсуждая наш будущий отпуск, а в итоге опять завис в онлайн-игре. Мои слова и наши общие планы для тебя явно стоят ниже, чем рейтинг в виртуальном мире среди незнакомых людей. Мне очень горько осознавать, что я для тебя — лишь фон, который всегда рядом и никуда не денется.",Инцидент,Средняя,Грусть,Обида,Внимание
"Какого черта ты опять без спроса взяла мою кредитку и потратила лимит на какие-то косметические процедуры?! У нас был четкий план расходов на месяц, и ты его просто разрушила одним своим импульсивным желанием. Твое легкомыслие в финансовых вопросах просто доводит меня до отчаяния и заставляет скрывать от тебя доходы!",Эскалация,Высокая,Гнев,Неодобрение,Деньги
"Убирайся прочь со своими лживыми клятвами в верности, я видела твой профиль на сайте знакомств с фото из нашей спальни! Ты подлый и мерзкий изменник, который всё это время пользовался моей добротой и доверием ради своих грязных интрижек. Я подаю на развод сегодня же, и больше ты не увидишь в своей жизни ни меня, ни наших детей!",Пик,Высокая,Гнев,Злость,Ревность
"Я сегодня понял, что был неправ, когда критиковал твое стремление пойти на курсы вождения и называл тебя «неспособной». Ты отлично справилась с первыми занятиями, и я вижу, как для тебя это важно — быть самостоятельной и мобильной. Прости за мой скептицизм, я завтра же помогу тебе выбрать лучшего инструктора в нашем районе.",Разрешение,Низкая,Позитив,Одобрение,Личность
"Твои друзья опять устроили в нашем доме шумную посиделку, хотя я просил тебя сегодня о тишине из-за моей подготовки к экзамену. Почему ты никогда не считаешься с моими важными этапами в жизни и ставишь комфорт приятелей выше моих целей? Я чувствую себя в этом доме абсолютно чужим человеком, чьи интересы никого не волнуют и не учитываются.",Предконфликтная,Средняя,Гнев,Неодобрение,Друзья
"Я заметила, что ты стала очень часто задерживаться на каких-то «дополнительных сменах» и возвращаться домой с подозрительным запахом чужого парфюма. Если у тебя кто-то появился — имей смелость признаться прямо сейчас, не делай из меня последнего дурака. Мне очень страшно потерять нашу семью, но жить в этой атмосфере лжи я больше не могу физически.",Инцидент,Высокая,Страх,Напряжение/Нервозность,Внимание
"Хватит попрекать меня каждой копейкой, которую я трачу на обучение нашего ребенка, это не прихоть, а вклад в его будущее! Ты зарабатываешь деньги для благополучия семьи, а не для того, чтобы контролировать каждый мой осознанный шаг. Твоя финансовая жадность и желание власти через деньги просто вызывают у меня чувство омерзения.",Эскалация,Средняя,Гнев,Раздражение,Деньги
"Я просто хочу, чтобы ты меня сейчас крепко обнял и ничего не говорил, мне так плохо и одиноко в нашей собственной квартире. Вся эта череда бесконечных конфликтов и взаимных упреков лишила меня всех жизненных сил и веры в любовь. Пожалуйста, побудь со мной рядом сегодня в тишине, мне жизненно необходимо почувствовать твою поддержку.",Инцидент,Высокая,Грусть,Горе/Грусть,Личность
"Спасибо, что поддержал меня в моем решении сменить профессию в тридцать лет, несмотря на все страхи и общественное мнение. Я знала, что ты мой лучший друг, но твоя вера в мои скрытые таланты придала мне сил начать всё с самого начала. Я бесконечно тебя люблю и ценю твою мудрость и терпение, проявленные в этот непростой для нас период.",Разрешение,Средняя,Позитив,Признательность/Радость,Личность
"Опять ты не убрал за собой остатки еды в комнате, и к утру по всей квартире стоит специфический запах, который меня раздражает. Тебе что, так трудно потратить одну минуту на то, чтобы отнести тарелку на кухню после ночного перекуса? Это элементарное отсутствие культуры совместного проживания, и я не намерена вечно быть твоей прислугой по уборке.",Предконфликтная,Низкая,Гнев,Раздражение,Быт
"Ты обещал, что мы сходим на выставку в эти выходные, а в итоге опять уехал помогать своему брату с его бесконечным переездом. Мои желания и наше совместное время для тебя всегда стоят на последнем месте после просьб твоих многочисленных родственников. Мне очень обидно осознавать, что я для тебя — лишь удобный вариант по остаточному принципу.",Инцидент,Средняя,Грусть,Обида,Родня
"Какого черта ты опять обсуждаешь наши интимные отношения со своей матерью по телефону в моем непосредственном присутствии?! Это наше сугубо личное дело, и я категорически против того, чтобы твои родственники знали о таких тонких подробностях. Твое абсолютное неумение держать личное в секрете просто выводит меня из себя и убивает всякое доверие!",Эскалация,Высокая,Гнев,Неодобрение,Секс
"Убирайся прочь из моей жизни прямо сейчас, я видела твой второй телефон с переписками, которые не оставляют сомнений в твоей измене! Ты подлый и мерзкий лицемер, который всё это время строил из себя верного супруга, пока предавал нашу общую мечту о семье. Я подаю на развод сегодня же, и больше ты не увидишь ни меня, ни наших детей никогда в жизни!",Пик,Высокая,Гнев,Злость,Ревность
"Я сегодня понял, что был слишком категоричен в своих суждениях о твоем новом увлечении танцами и зря называл это глупостью. Ты так преобразилась и стала гораздо увереннее в себе, и это на самом деле очень круто и вдохновляет меня тоже. Прости за моё ворчание и непонимание, я завтра же куплю тебе ту специальную обувь, о которой ты просила.",Разрешение,Низкая,Позитив,Одобрение,Личность
"Твои друзья опять устроили в нашем доме шумную посиделку, хотя я просила тебя сегодня о тишине из-за моего плохого самочувствия. Почему ты никогда не ставишь моё здоровье выше желаний своей компании приятелей, которые даже не убирают за собой? Я чувствую себя в этом доме абсолютно лишним человеком, чьи потребности стоят на самом последнем месте.",Предконфликтная,Средняя,Гнев,Неодобрение,Друзья
"Я заметила, что ты стала удалять все сообщения в мессенджерах и переворачивать телефон экраном вниз каждый раз, когда я захожу в комнату. Это поведение человека, который ведет тайную переписку на стороне и панически боится быть раскрытым своим партнером. Пожалуйста, будь со мной честна — что происходит в нашей жизни на самом деле, я не могу больше жить в этом страхе.",Инцидент,Высокая,Страх,Страх,Ревность
"Хватит попрекать меня каждой копейкой, которую я трачу на развивающие занятия для нашего сына, это вклад в его будущее, а не прихоть! Ты зарабатываешь деньги для благополучия всей семьи, а не для того, чтобы контролировать мой каждый шаг в воспитании. Твоя патологическая жадность и подозрительность в финансовых вопросах просто душат меня как твою жену.",Эскалация,Средняя,Гнев,Раздражение,Деньги
"Я просто хочу тишины и чтобы меня никто не трогал хотя бы до утра, у меня нет сил на бесконечные разборки кто прав, а кто виноват. Вся эта ситуация с нашими вечными ссорами вымотала меня морально настолько, что я чувствую полное эмоциональное опустошение. Давай просто помолчим сегодня, иначе я просто сойду с ума от этого бесконечного потока взаимных претензий.",Предконфликтная,Низкая,Нейтральные,Нейтральность,Личность
"Почему ты никогда не советуешься со мной, когда принимаешь важные решения по поводу смены нашей квартиры или других крупных трат? Ты просто ставишь меня перед фактом свершившегося выбора, и это очень обидно для равноправного партнера в браке. Мы же семья, а не корпорация с единоличным управлением, я тоже хочу иметь право голоса в нашем общем будущем!",Инцидент,Средняя,Грусть,Обида,Контроль
"Твои постоянные придирки к моей манере общения с твоими многочисленными родственниками меня просто доводят до бешенства на каждом семейном ужине! Я всегда стараюсь быть вежливой, но твоя критика в мой адрес делает ситуацию только более напряженной и неприятной. Хватит меня контролировать в каждом моем слове, иначе я просто перестану посещать ваши общие праздники!",Эскалация,Средняя,Гнев,Раздражение,Родня
"Да мне плевать на твои оправдания, ты опять просадил все деньги с нашего общего счета на свои сомнительные бизнес-проекты! Ты совершенно ненадежный и безответственный человек, для которого призрачная выгода важнее стабильности собственного дома. Собирай свои вещи прямо сейчас и уходи к тем, с кем ты проворачиваешь свои аферы, я с тобой окончательно завязала!",Пик,Высокая,Гнев,Злость,Деньги
"Я сегодня осознала, что была неоправданно строга к тебе из-за того беспорядка, который ты устроил в гостиной во время ремонта техники. Главное — это твое стремление всё починить самостоятельно, а пыль и гайки мы можем убрать и вместе за десять минут. Прости меня за мои резкие слова, ты действительно мастер на все руки, и я очень ценю твою заботу о нашем доме.",Разрешение,Низкая,Социальные,Раскаяние,Быт
"Твои друзья опять зовут тебя на охоту в мой единственный выходной, когда мы давно планировали съездить в магазин за новой одеждой. Почему твои личные развлечения и желания приятелей всегда оказываются важнее наших совместных бытовых планов и обещаний? Я чувствую себя абсолютно заброшенной и неважной в твоем списке приоритетов, и это чувство меня убивает.",Предконфликтная,Низкая,Гнев,Неодобрение,Друзья
"Хватит орать на меня из-за того, что я вернулась домой на полчаса позже обычного из-за неожиданной встречи с подругой! Я не в тюрьме и не обязана отчитываться за каждую минуту своего времени перед твоим вечным контролем и судом. Твоя необоснованная агрессия и желание всё знать просто убивают во мне всякое желание возвращаться в этот дом.",Эскалация,Средняя,Гнев,Раздражение,Контроль
"Спасибо, что поддержал меня в моем решении заняться своим хобби профессионально, несмотря на все риски и мои внутренние сомнения. Я знала, что ты на моей стороне, но твоя твердая уверенность в моем таланте придала мне сил справиться с первыми неудачами. Я бесконечно тебя люблю и ценю твою надежность как мужа и самого близкого и понимающего человека на свете.",Разрешение,Средняя,Позитив,Признательность/Радость,Личность
"Опять ты не помыл за собой чашку после кофе, и она присохла так, что её теперь невозможно очистить без усилий. Мне кажется, я прошу об элементарных вещах в быту, но они игнорируются тобой систематически и демонстративно. Это мелкое неуважение к моим просьбам в итоге приведет к огромному скандалу, поверь мне, моё терпение уже на пределе.",Предконфликтная,Низкая,Гнев,Раздражение,Быт
"Ты обещал, что мы проведем этот вечер только вдвоем, без гаджетов, а в итоге опять весь вечер просидел в новостных пабликах. Мои слова и наше совместное время для тебя явно стоят ниже, чем бесконечный поток информации из интернета. Мне очень горько осознавать, что я для тебя — лишь привычное дополнение к твоей жизни, которое всегда под рукой.",Инцидент,Средняя,Грусть,Обида,Внимание
"Какого черта ты опять без спроса взял мои личные деньги на покупку каких-то запчастей для своего компьютера?! У нас был четкий бюджет на этот месяц, и ты его просто разрушил одним своим импульсивным и эгоистичным желанием. Твое легкомыслие в финансовых вопросах семьи просто доводит меня до отчаяния и заставляет скрывать от тебя заначки!",Эскалация,Высокая,Гнев,Неодобрение,Деньги
"Убирайся прочь из моей жизни, я видела твою переписку с той девицей из фитнес-клуба, и не смей врать, что это «просто знакомая»! Ты лживый и мерзкий изменник, который всё это время пользовался моим доверием и любовью ради своих грязных похождений. Я подаю на развод сегодня же, и больше ты не увидишь в своей жизни ни меня, ни наших общих детей никогда!",Пик,Высокая,Гнев,Злость,Ревность
"Я сегодня понял, что был неправ, когда критиковал твое стремление пойти на курсы дизайна и называл это пустой тратой времени. Ты отлично справилась с первыми проектами, и я вижу, как у тебя горят глаза, а это гораздо важнее любых денег. Прости за моё ворчание и непонимание, я завтра же помогу тебе оплатить продвинутый уровень обучения.",Разрешение,Низкая,Позитив,Одобрение,Личность
"Твои друзья опять устроили в нашей квартире шумную посиделку, хотя я просила тебя сегодня о покое из-за моей мигрени. Почему ты никогда не считаешься с моим самочувствием и ставишь комфорт приятелей выше здоровья собственной жены? Я чувствую себя в этом доме абсолютно лишним человеком, чьи интересы никого не волнуют и совершенно не учитываются.",Предконфликтная,Средняя,Гнев,Неодобрение,Друзья
"Я заметила, что ты стала очень часто задерживаться на «работе» и возвращаться домой в подозрительно приподнятом настроении. Если у тебя кто-то появился на стороне — имей смелость признаться прямо сейчас, не делай из меня последнего дурака. Мне очень страшно потерять нашу семью, но жить в этой гнетущей атмосфере лжи и недомолвок я больше не в состоянии.",Инцидент,Высокая,Страх,Напряжение/Нервозность,Внимание
"Спасибо, что поддержал меня в моем решении сменить сферу деятельности, несмотря на все финансовые риски для нашей семьи. Я знала, что ты на моей стороне, но твоя непоколебимая вера в мои способности придала мне сил начать всё с нуля. Я бесконечно тебя люблю и ценю твою надежность как мужа и самого близкого человека, который у меня есть.",Разрешение,Средняя,Позитив,Признательность/Радость,Деньги
"Да пошел ты к черту со своим тотальным контролем, я буду встречаться со своими подругами когда захочу! Ты мне не хозяин, чтобы диктовать, с кем мне проводить свободное время и какие заведения посещать без твоего надзора. Я больше не позволю тебе превращать мою жизнь в бесконечную череду оправданий за каждый мой сделанный шаг!",Пик,Высокая,Гнев,Злость,Контроль
"Я сегодня поняла, что была слишком холодна с тобой после твоей неудачи на той важной презентации нового проекта. Прости меня, я просто сама испугалась за наше финансовое благополучие и не нашла в себе сил тебя вовремя поддержать. Я очень горжусь твоим талантом и верю, что в следующий раз у тебя всё обязательно получится еще лучше.",Разрешение,Средняя,Социальные,Эмпатия,Личность
"Хватит попрекать меня каждой копейкой, которую я трачу на себя, когда ты сам спускаешь огромные суммы на свои гаджеты! Я тоже работаю на износ и имею право на свои маленькие радости и нужды без твоего вечного финансового контроля. Твое высокомерие и отношение ко мне как к иждивенке просто оскорбительны и медленно разрушают нашу любовь.",Эскалация,Средняя,Гнев,Раздражение,Деньги
"Как же я счастлив, что мы наконец-то смогли сесть и спокойно обсудить все те взаимные обиды и подозрения. Ты — самая удивительная и мудрая женщина на всём белом свете, и я бесконечно благодарен судьбе за наш брак. Я люблю тебя всем сердцем и обещаю беречь наше хрупкое счастье от любых жизненных потрясений и невзгод.",Разрешение,Высокая,Позитив,Любовь,Личность
"Да мне плевать на твои оправдания, ты опять потратил все деньги с нашего накопительного счета на свои азартные игры! Ты совершенно безответственный человек, для которого минутный риск важнее комфорта и будущего собственного дома. Собирай свои манатки прямо сейчас и чтобы я тебя больше никогда не видела в своей жизни, уходи!",Пик,Высокая,Гнев,Злость,Деньги
"Я заметил, что ты стала очень скрытной и вздрагиваешь каждый раз, когда я просто случайно касаюсь твоего смартфона на столе. Это поведение женщины, которая ведет какую-то тайную игру на стороне и панически боится, что её секреты будут раскрыты. Пожалуйста, будь со мной честна — у нас еще есть шанс на спасение семьи, или я для тебя уже в прошлом?",Инцидент,Высокая,Страх,Страх,Ревность
"Я просто хочу тишины и чтобы меня никто не трогал хотя бы пару часов, у меня нет сил на очередные выяснения. Вся эта ситуация с нашими вечными ссорами вымотала меня морально настолько, что я чувствую полное эмоциональное и физическое выгорание. Давай просто разойдемся по разным комнатам и помолчим до утра, иначе я просто сойду с ума сегодня.",Предконфликтная,Низкая,Нейтральные,Нейтральность,Личность
"Как же я счастлив, что мы смогли найти в себе силы простить друг друга и снова начать строить наше общее и светлое будущее. Ты — самая удивительная и мудрая женщина на всём белом свете, и я бесконечно благодарен судьбе за то, что ты со мной. Я люблю тебя всем сердцем и обещаю, что больше никогда не дам тебе ни малейшего повода для грустных слез.",Разрешение,Высокая,Позитив,Любовь,Личность
"Опять ты не убрала за собой крошки со стола после завтрака, хотя это секундное дело, которое сделало бы мой день. Мне кажется, я говорю на другом языке, потому что мои элементарные просьбы о порядке в доме систематически игнорируются тобой. Это мелкое неуважение к моему труду в итоге перерастет во что-то по-настоящему крупное и неприятное, поверь мне.",Предконфликтная,Низкая,Гнев,Раздражение,Быт
"Убирайся прочь из моей жизни прямо сейчас, я видела твою переписку в скрытом чате, и не смей врать, что это «просто ошибка»! Ты лживый подонок, который предал меня в самый уязвимый момент, когда я больше всего нуждалась в твоей поддержке. Я подаю на развод сегодня же, и больше ты не увидишь в своей жизни ни меня, ни наших маленьких детей!",Пик,Высокая,Гнев,Злость,Ревность
"Я заметила, что ты стала ставить пароли на все мессенджеры в телефоне и вздрагивать каждый раз, когда я подхожу. Это типичное поведение женщины, которая ведет тайную жизнь на стороне и панически боится разоблачения своим законным мужем. Пожалуйста, скажи мне честно — что происходит в нашей семье на самом деле, я не могу больше жить в этой лжи.",Инцидент,Высокая,Страх,Страх,Ревность
"Опять ты не предупредила, что твоя лучшая подруга заглянет к нам на ужин, когда я планировал отдохнуть в тишине. У меня был очень тяжелый день в офисе, и я совершенно не готов к приему гостей и долгим разговорам в своем доме. Почему ты никогда не учитываешь моё состояние и потребность в покое в нашем общем жилом пространстве после работы?",Предконфликтная,Низкая,Гнев,Раздражение,Друзья
